id,title,revenue,vote_count,vote_average,runtime,popularity
257194,The Sinking of Van Der Wijck,0,3,5.8,163.0,1.264
549599,Two Catalonias,0,15,7.2,116.0,1.74
395395,Bobby Sands: 66 Days,0,13,7.2,105.0,1.372
496748,Deliha 2,0,16,5.9,0.0,3.64
530382,In the Shadow of the Moon,0,721,6.2,115.0,40.696
624989,Sturgill Simpson Presents Sound & Fury,0,29,6.0,41.0,7.225
367196,Weeds on Fire,0,11,6.5,95.0,2.418
336805,Much Loved,0,91,6.1,108.0,6.137
16366,Joseph: King of Dreams,0,660,6.6,74.0,31.462
611537,Malaal,0,3,5.3,136.0,2.112
134112,Steamin' & Dreamin': The Grandmaster Cash Story,0,0,0.0,84.0,0.629
430040,The Hurricane Heist,32517248,694,5.7,103.0,45.855
478054,Def Comedy Jam 25,0,27,6.5,81.0,5.66
423710,Restless Creature: Wendy Whelan,0,9,6.8,93.0,3.243
253266,Print the Legend,0,33,6.9,100.0,6.317
632602,Birders,0,6,7.0,37.0,3.364
622654,Get In,0,50,5.9,97.0,6.301
25195,Leap Year,29922472,1409,6.9,100.0,17.502
340945,USS Indianapolis: Men of Courage,2158568,436,5.9,128.0,27.063
407451,A Wrinkle in Time,132675864,1369,5.1,109.0,30.87
477837,Teach Us All,0,2,7.0,80.0,1.656
403665,White Island,0,4,4.3,95.0,3.089
619278,Inside Man: Most Wanted,0,123,6.7,106.0,62.974
633517,Jeff Dunham: Beside Himself,0,12,7.4,58.0,3.052
461714,China Salesman,0,33,5.0,110.0,6.174
186610,Swearnet: The Movie,0,29,5.4,112.0,6.033
396289,Raising the Bar,0,117,6.6,93.0,8.509
606714,Manmadhudu 2,0,7,6.0,155.0,2.515
486269,Under the Eiffel Tower,0,26,6.5,87.0,8.819
376228,Audrie & Daisy,0,144,7.3,95.0,12.059
416867,Iliza Shlesinger: Confirmed Kills,0,52,6.3,77.0,8.188
634304,"Do Paise Ki Dhoop, Chaar Aane Ki Baarish",0,2,6.3,121.0,0.92
159014,20 Feet from Stardom,5892466,166,7.4,89.0,10.344
417643,In Darkness,217427,315,6.0,100.0,14.681
472424,Gaga: Five Foot Two,0,463,7.6,100.0,16.989
316154,The Bad Batch,180851,682,5.2,119.0,15.227
311615,Smosh: The Movie,0,155,4.7,84.0,11.014
570465,King of Boys,0,4,7.1,169.0,2.451
629742,Merry Men: The Real Yoruba Demons,0,4,6.3,106.0,2.065
53457,Sarah's Key,17511906,504,7.3,111.0,7.727
488424,The Wedding Party 2 Destination Dubai,2000000,3,7.7,98.0,1.597
504561,Quincy,0,59,7.4,124.0,11.705
549443,Rafinha Bastos: Ultimatum,0,21,6.8,62.0,2.269
584962,Between Two Ferns: The Movie,0,429,6.0,82.0,13.926
501577,Daddy Issues,0,8,4.8,90.0,6.58
631331,True: Tricky Treat Day,0,1,7.0,0.0,0.925
520788,Mad World,0,4,3.8,97.0,38.88
537795,The Bund,0,2,5.5,103.0,1.291
712609,The First Line of China,0,0,0.0,46.0,0.6
76016,UFC 136: Edgar vs. Maynard III,0,3,6.5,203.0,5.031
383200,Bitcoin Heist,0,8,7.1,102.0,3.685
400114,I Am Not Madame Bovary,0,37,6.9,128.0,3.16
300672,Vincent N Roxxy,0,63,5.5,110.0,12.438
230266,Miss Julie,5000000,91,5.7,130.0,10.03
686340,Kabir Singh: Retiring Material,0,1,6.0,25.0,0.6
