id,revenue,runtime,popularity
335984,259239658,164.0,86.867
290859,261119292,128.0,199.17
420817,1047612394,128.0,141.368
284053,853977126,131.0,119.65
102651,758539785,97.0,58.891
259316,809342332,133.0,92.955
10681,521311860,98.0,34.955
5174,258022233,91.0,30.608
258489,356743061,109.0,31.277
44826,185770160,126.0,20.983
339964,225874228,136.0,57.553
76757,183987723,127.0,40.428
353081,791017452,147.0,68.647
246655,543934787,144.0,67.138
345940,530243742,113.0,128.066
137113,370541256,113.0,46.722
299537,1128276090,124.0,123.523
278927,966550600,106.0,38.722
150540,857611174,95.0,53.868
315635,880166924,133.0,107.421
297761,746846894,123.0,55.937
14160,735099082,96.0,37.033
354912,800526015,105.0,256.108
404368,529221154,112.0,144.147
15512,381509870,94.0,26.069
260514,383925276,102.0,88.355
14869,302469017,118.0,27.462
8487,222104681,106.0,17.736
1735,403449830,112.0,30.357
2698,173000000,96.0,18.597
9804,264218220,135.0,26.733
448119,245692007,101.0,136.614
274857,148675066,126.0,32.072
64686,150962475,119.0,29.382
351286,1303459585,129.0,123.138
283995,863756051,137.0,70.486
10138,623933331,124.0,56.821
100402,714766572,136.0,32.421
119450,710644566,130.0,46.062
5255,310634054,100.0,39.468
58595,396600000,127.0,27.428
296,435000000,109.0,33.692
7131,300257475,132.0,40.008
329996,215832199,112.0,60.702
373571,386600138,132.0,124.207
158852,209154322,130.0,32.219
399579,404852543,122.0,100.745
241259,299457024,113.0,35.163
10192,752600867,93.0,62.846
284052,677700000,115.0,76.338
177572,657827828,102.0,84.422
10191,494878759,100.0,45.332
82690,471222889,101.0,49.243
157336,675120017,169.0,105.641
47933,389681935,120.0,37.343
49849,174822325,119.0,21.826
321612,1263521126,129.0,51.992
429617,1131927996,129.0,188.549
297802,1148461807,144.0,85.308
810,798958165,93.0,46.185
27205,825532764,148.0,50.373
131634,653428261,137.0,47.753
82992,788679850,131.0,5.801
124905,529076069,123.0,42.769
685918,0,70.0,14.051
4922,333932083,166.0,26.179
27022,215283742,109.0,20.897
503,181674817,99.0,17.449
68735,433677183,123.0,38.154
398978,8000000,209.0,36.279
296524,121790373,107.0,25.892
87101,440603537,126.0,74.692
268896,290061297,111.0,87.29
1966,167298192,175.0,20.907
281338,488533726,140.0,50.175
676,449220945,183.0,27.428
335988,605425157,149.0,57.404
330457,1450026933,104.0,295.1
297762,821847012,141.0,85.71
330457,1450026933,104.0,295.1
269149,1023784195,109.0,70.434
675,938212738,138.0,77.577
674,895921036,157.0,101.904
604,738599701,138.0,40.389
6479,585410052,101.0,39.806
277834,690860472,107.0,19.995
8960,629443428,92.0,24.634
118,474968763,115.0,47.999
2062,623722818,111.0,48.973
76338,644571402,112.0,61.417
272,374218673,140.0,50.247
177677,682330139,131.0,38.018
374720,525573161,107.0,47.999
284053,853977126,131.0,119.65
10527,603900354,89.0,32.271
2080,373062864,107.0,4.566
18360,413106170,105.0,20.725
49444,631910531,91.0,32.931
76341,378858340,121.0,54.266
447404,433005346,105.0,152.87
605,424988211,129.0,33.252
333339,582890172,140.0,126.926
9982,314432665,81.0,26.743
956,397850012,126.0,36.431
458897,73279888,118.0,112.516
652,497409852,163.0,47.263
10196,318502923,103.0,32.527
5559,287594577,91.0,31.388
19585,292817841,88.0,17.274
13053,309979994,98.0,30.259
57165,301970083,99.0,35.305
2310,195735876,115.0,18.324
62213,245527149,113.0,22.179
117251,205366737,131.0,27.272
7978,0,102.0,21.306
311324,331957105,103.0,55.656
266647,128388320,111.0,25.786
50321,38992758,88.0,21.458
406759,0,0.0,3.771
11619,178120010,85.0,19.398
80321,746921274,93.0,40.126
56292,694713380,133.0,36.261
82702,609123048,102.0,61.048
37135,448191819,88.0,33.252
82703,272912430,92.0,31.381
81188,306941670,97.0,39.788
423453,7800000,86.0,18.53
43074,229147509,116.0,41.931
36669,431971116,133.0,26.517
13475,385680446,127.0,29.019
95,553799566,151.0,35.861
608,441818803,88.0,32.906
1771,370569774,124.0,36.489
140300,521170825,95.0,73.037
944,285444603,127.0,21.648
72559,371876278,110.0,25.494
616,456758981,154.0,22.46
7552,202026112,90.0,17.38
147441,268031828,150.0,48.297
267935,195243411,120.0,27.14
453405,173469516,117.0,180.114
205584,150680864,127.0,34.194
361743,0,0.0,20.344
557,821708551,121.0,57.107
13183,185258983,163.0,33.06
10048,76932943,121.0,13.587
1724,163712074,114.0,46.495
1927,245360480,138.0,29.785
2114,85131830,106.0,15.781
50620,829000000,115.0,80.675
49519,587204668,98.0,80.527
281957,532950503,157.0,29.691
36643,361832400,128.0,25.957
44896,245724603,107.0,32.407
8619,212011111,138.0,20.922
77950,282570682,96.0,21.62
308531,245623848,112.0,35.852
65759,150406466,100.0,23.085
82,163794509,132.0,17.516
426543,59522646,99.0,54.034
74,591739379,116.0,30.649
270946,373552094,92.0,76.966
101299,847423452,146.0,43.573
673,789804554,141.0,84.855
2503,442824138,115.0,27.008
363088,622674139,119.0,71.127
140300,521170825,95.0,73.037
102899,519311965,117.0,48.189
429617,1131927996,129.0,188.549
400650,348807090,131.0,63.681
417859,554987477,90.0,26.764
38055,321885765,96.0,32.0
8961,273339556,147.0,38.149
172385,500188435,102.0,38.787
27576,293329073,100.0,23.741
86834,362637473,138.0,25.455
17578,371940071,107.0,28.737
82700,243843127,100.0,24.978
6972,211787511,165.0,15.695
49524,61648500,96.0,26.007
166428,517526875,104.0,104.249
50619,712171856,117.0,67.64
10567,354248063,82.0,32.006
263115,619021436,137.0,65.066
181533,363204635,97.0,34.564
12445,1341511219,130.0,86.298
131631,752100229,123.0,76.261
512200,796575993,123.0,257.069
12445,1341511219,130.0,86.298
591,767820459,149.0,27.694
758075,0,0.0,2.907
51497,626137675,130.0,5.579
98566,477200000,101.0,56.273
58574,334615000,129.0,31.953
435,544272402,124.0,26.771
295693,498814908,97.0,33.323
18823,493214993,106.0,39.669
446893,1946164,91.0,365.172
124905,529076069,123.0,42.769
70981,403170142,124.0,43.242
49040,276572938,135.0,24.448
268,411348924,126.0,43.779
447200,292351275,102.0,60.882
481848,107604626,100.0,134.933
64635,198802074,121.0,27.543
